State,District,Date,Year,Month,Avg_rainfall,Agency_name
Uttar Pradesh,Agra,2025-02-09,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-19,2025,02,0.2983116176,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-20,2025,02,0.3643927194,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-21,2025,02,0.2888219581,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-04,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-15,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-17,2025,03,0.1384684338,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-18,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-21,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-04,2025,04,0.108022366,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-06,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-10,2025,04,1.3062346099,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-15,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-16,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-20,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-21,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-22,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-23,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-01,2025,05,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-04,2025,05,0.1114274201,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-15,2025,05,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-16,2025,05,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-17,2025,05,0.1631546563,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-26,2025,05,0.2295906493,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-27,2025,05,0.25679388,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-31,2025,05,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-03,2025,06,0.0497883155,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-08,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-16,2025,06,3.8256574213,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-23,2025,06,9.7333414198,NRSC VIC MODEL
