state,district,crop,season,year_start,year_end,area_hectare,production,yield_per_hectare,production_unit,yield_unit
Uttar Pradesh,Amethi,Moong(Green Gram),Kharif,2021,2022,101.0,36.0,0.36,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Moong(Green Gram),Kharif,2022,2023,101.0,38.0,0.38,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Moong(Green Gram),Summer,2020,2021,655.0,219.0,0.33,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Moong(Green Gram),Summer,2021,2022,635.0,172.0,0.27,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Moong(Green Gram),Summer,2022,2023,732.0,429.0,0.59,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Onion,Rabi,2020,2021,131.0,1965.0,15.0,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Onion,Rabi,2021,2022,129.0,2093.0,16.22,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Onion,Rabi,2022,2023,643.0,9931.0,15.44,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Onion,Summer,2020,2021,520.0,7157.0,13.76,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Onion,Summer,2021,2022,556.0,8693.0,15.63,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Onion,Summer,2022,2023,306.0,5812.0,18.99,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Peas & beans (Pulses),Rabi,2020,2021,5055.0,7866.0,1.56,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Peas & beans (Pulses),Rabi,2021,2022,5697.0,9269.0,1.63,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Peas & beans (Pulses),Rabi,2022,2023,6236.0,9660.0,1.55,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Potato,Rabi,2020,2021,4536.0,126944.0,27.99,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Potato,Rabi,2021,2022,4606.0,135877.0,29.5,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Potato,Rabi,2022,2023,4609.0,135978.0,29.5,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Rapeseed &Mustard,Rabi,2020,2021,3038.0,2270.0,0.75,tonnes,tonnes/hectare
