state,district,crop,season,year_start,year_end,area_hectare,production,yield_per_hectare,production_unit,yield_unit
Uttar Pradesh,Mathura,Onion,Rabi,2022,2023,10.0,154.0,15.4,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Peas & beans (Pulses),Rabi,2022,2023,2021.0,3131.0,1.55,tonnes,tonnes/hectare
Uttar Pradesh,Bareilly,Sweet potato,Kharif,2022,2023,111.0,1285.0,11.58,tonnes,tonnes/hectare
Uttar Pradesh,Bareilly,Turmeric,Rabi,2022,2023,45.0,86.0,1.91,tonnes,tonnes/hectare
Uttar Pradesh,Bareilly,Urad,Kharif,2022,2023,21384.0,19096.0,0.89,tonnes,tonnes/hectare
Uttar Pradesh,Bareilly,Urad,Summer,2022,2023,122.0,109.0,0.89,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Banana,Summer,2022,2023,756.0,41033.0,54.28,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Barley,Rabi,2022,2023,107.0,328.0,3.07,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Coriander,Rabi,2022,2023,80.0,61.0,0.76,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Dry chillies,Kharif,2022,2023,15.0,14.0,0.93,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Rapeseed &Mustard,Rabi,2022,2023,50228.0,95986.0,1.91,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Rice,Kharif,2022,2023,68748.0,126565.0,1.84,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Sesamum,Kharif,2022,2023,444.0,59.0,0.13,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Sugarcane,Kharif,2022,2023,113.0,7000.0,61.95,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Sweet potato,Kharif,2022,2023,35.0,405.0,11.57,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Maize,Kharif,2022,2023,2935.0,4520.0,1.54,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Maize,Rabi,2022,2023,631.0,1784.0,2.83,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Maize,Summer,2022,2023,219.0,371.0,1.69,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Masoor,Rabi,2022,2023,33254.0,27135.0,0.82,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Garlic,Rabi,2022,2023,16.0,97.0,6.06,tonnes,tonnes/hectare
Uttar Pradesh,Kheri,Urad,Kharif,2022,2023,4927.0,2986.0,0.61,tonnes,tonnes/hectare
Uttar Pradesh,Kheri,Urad,Summer,2022,2023,299.0,215.0,0.72,tonnes,tonnes/hectare
Uttar Pradesh,Kheri,Wheat,Rabi,2022,2023,193565.0,798068.0,4.12,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Arhar/Tur,Kharif,2022,2023,849.0,558.0,0.66,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Bajra,Kharif,2022,2023,112.0,242.0,2.16,tonnes,tonnes/hectare
Uttar Pradesh,Bareilly,Wheat,Rabi,2022,2023,207246.0,844527.0,4.07,tonnes,tonnes/hectare
Uttar Pradesh,Basti,Arhar/Tur,Kharif,2022,2023,3930.0,4916.0,1.25,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Jowar,Kharif,2022,2023,5.0,8.0,1.6,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Linseed,Rabi,2022,2023,33.0,24.0,0.73,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Urad,Kharif,2022,2023,182.0,91.0,0.5,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Wheat,Rabi,2022,2023,194250.0,695998.0,3.58,tonnes,tonnes/hectare
Uttar Pradesh,Mau,Arhar/Tur,Kharif,2022,2023,2710.0,3748.0,1.38,tonnes,tonnes/hectare
Uttar Pradesh,Mau,Bajra,Kharif,2022,2023,1907.0,4119.0,2.16,tonnes,tonnes/hectare
Uttar Pradesh,Mau,Barley,Rabi,2022,2023,2726.0,7720.0,2.83,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Potato,Rabi,2022,2023,16512.0,591139.0,35.8,tonnes,tonnes/hectare
Uttar Pradesh,Basti,Banana,Summer,2022,2023,5.0,271.0,54.2,tonnes,tonnes/hectare
Uttar Pradesh,Basti,Barley,Rabi,2022,2023,72.0,221.0,3.07,tonnes,tonnes/hectare
Uttar Pradesh,Basti,Coriander,Rabi,2022,2023,43.0,33.0,0.77,tonnes,tonnes/hectare
Uttar Pradesh,Kheri,Sesamum,Kharif,2022,2023,4760.0,1880.0,0.39,tonnes,tonnes/hectare
Uttar Pradesh,Kheri,Small millets,Kharif,2022,2023,38.0,25.0,0.66,tonnes,tonnes/hectare
Uttar Pradesh,Kheri,Small millets,Summer,2022,2023,62.0,67.0,1.08,tonnes,tonnes/hectare
Uttar Pradesh,Kheri,Sugarcane,Kharif,2022,2023,348677.0,30285000.0,86.86,tonnes,tonnes/hectare
